OTUID	CoefficientOfBimodality	MaxRel_All	MedianRel_All	MaxRel_NoSingletons	MedianRel_NoSingletons
914	0.910458171575983	0.00942943273854969	4.0198742583332e-05	0.00942943273854969	4.0198742583332e-05
915	0.975939619240462	0.0237027887512911	0	0.0237027887512911	0
925	0.958551019447666	0.0112194564844978	0	0.0112194564844978	0
953	0.905744643116529	0.00740712541535918	9.17161934111087e-06	0.00740712541535918	9.17161934111087e-06
965	0.903962788833038	0.0107642531583077	0	0.0107642531583077	0
967	0.905786573244591	0.00733098756233787	8.517524807291e-06	0.00733098756233787	8.517524807291e-06
981	0.986859098982868	0.00824289656266805	0	0.00824289656266805	0
982	0.903609353485172	0.0126770647611293	1.09875620797258e-05	0.0126770647611293	1.09875620797258e-05
1004	0.903245804314421	0.00627688468985952	0	0.00627688468985952	0
1017	0.925304990609766	0.00584277915964142	2.56891103861073e-05	0.00584277915964142	2.56891103861073e-05
1021	0.964003181460067	0.010528777389233	0	0.010528777389233	0
1028	0.956524474097275	0.014941264151613	0	0.014941264151613	0
1043	0.969416208817584	0.0106538610049109	0	0.0106538610049109	0
1055	0.972159392745978	0.0100501965988133	0	0.0100501965988133	0
1062	0.970332112415458	0.0102622949036584	0	0.0102622949036584	0
1064	0.932885668702651	0.0104837278631508	0	0.0104837278631508	0
1082	0.916579831993629	0.00678699831242204	0	0.00678699831242204	0
1113	0.964535027060808	0.0106115635776653	0	0.0106115635776653	0
1151	0.930721345420779	0.00921044658546931	6.38889184670919e-05	0.00921044658546931	6.38889184670919e-05
1167	0.928804666774906	0.00677857827305959	0	0.00677857827305959	0
1185	0.987337172209685	0.00697340233269565	0	0.00697340233269565	0
1203	0.971851391177029	0.00915829603484938	0	0.00915829603484938	0
1225	0.949082709033146	0.0069502982972313	0	0.0069502982972313	0
1233	0.927824116077819	0.00567573572481771	0	0.00567573572481771	0
1238	0.9030092629056	0.00913927924639553	0	0.00913927924639553	0
1239	0.939916029292689	0.00597072419106317	0	0.00597072419106317	0
1253	0.930928609092232	0.00574937005358981	0	0.00574937005358981	0
1323	0.900326348587901	0.00700571388011499	0	0.00700571388011499	0
1392	0.977512525242316	0.00730923389004606	0	0.00730923389004606	0
1413	0.969318721427424	0.00622155027545588	0	0.00622155027545588	0
1416	0.902234962898502	0.00769327961140515	0	0.00769327961140515	0
1427	0.952605999339182	0.00550367908982635	0	0.00550367908982635	0
1435	0.936923085104776	0.00800653014870284	0	0.00800653014870284	0
1477	0.936060361798057	0.010378863179307	0	0.010378863179307	0
1482	0.905279019535518	0.00850102227483052	0	0.00850102227483052	0
1499	0.947850546932057	0.00919820376274978	0	0.00919820376274978	0
1553	0.974361270236176	0.00551214322400763	0	0.00551214322400763	0
1571	0.910952694332314	0.00524973118846324	2.22259265433128e-05	0.00524973118846324	2.22259265433128e-05
1636	0.974211923230826	0.00648803276103047	0	0.00648803276103047	0
1680	0.942553209796882	0.00608297547645243	0	0.00608297547645243	0
1692	0.960674134459427	0.0147418715767393	0	0.0147418715767393	0
1739	0.993824595007449	0.0131254139322054	0	0.0131254139322054	0
1743	0.913055757396512	0.00513894310962842	0	0.00513894310962842	0
1757	0.933818016555636	0.0071828257828473	0	0.0071828257828473	0
1765	0.91272621533325	0.00509942035365764	0	0.00509942035365764	0
1784	0.968721731641759	0.0123244330893157	0	0.0123244330893157	0
1805	0.944321593246068	0.00788670081031042	0	0.00788670081031042	0
1861	0.930219264164757	0.00515863137222361	0	0.00515863137222361	0
1907	0.945143716920623	0.00544213144583744	0	0.00544213144583744	0
1929	0.909535920228635	0.00900030591379671	0	0.00900030591379671	0
1951	0.987400568675866	0.00611769472298187	1.12956060092624e-05	0.00611769472298187	1.12956060092624e-05
1961	0.984386449666756	0.00596576521827206	6.66293542282988e-06	0.00596576521827206	6.66293542282988e-06
1986	0.97270092935838	0.00727268855217063	0	0.00727268855217063	0
1987	0.99985275731426	0.00555262485248291	0	0.00555262485248291	0
1989	0.905689426789133	0.00534996359492228	0	0.00534996359492228	0
1996	0.995546245699536	0.00645923143682331	0	0.00645923143682331	0
1999	0.97457930001896	0.00554202628657379	0	0.00554202628657379	0
2089	0.949443184184533	0.00624128946252197	0	0.00624128946252197	0
2180	0.927557439591952	0.0055014527063381	0	0.0055014527063381	0
2239	0.993810862866226	0.0081151265959749	0	0.0081151265959749	0
2303	0.95525081855108	0.00680425199560504	0	0.00680425199560504	0
2416	0.985763871207756	0.0062134987055211	0	0.0062134987055211	0
2562	0.985301396358253	0.00554385565484661	0	0.00554385565484661	0
2669	0.983741563741058	0.00608339785421967	0	0.00608339785421967	0
2695	0.965984705202366	0.00529135092761955	0	0.00529135092761955	0
2825	0.999474681791115	0.00539586772155501	0	0.00539586772155501	0
3187	0.964701685751515	0.00636297445313242	0	0.00636297445313242	0
